Name,Surname,DBDate,Phone
Sancho,Persicke,1995-03-30,299-875-2341
Abbey,Polak,1997-01-06,880-236-8200
Derby,Robardley,1996-10-31,669-145-8632
Arty,Tutton,1996-09-11,308-736-5344
Prentice,Brafield,1995-02-07,642-579-6094
Kliment,Wemyss,1996-07-22,898-808-3077
Fletcher,Kitcherside,1997-05-06,940-181-7876
Thia,Basford,1995-03-17,753-788-3237
Gwendolen,Heddy,1998-03-01,307-489-4235
Daffi,De Filippis,1995-05-30,492-194-5461
Meredeth,Wiseman,1996-03-20,257-513-1306
Brendin,Mugg,1999-12-27,304-485-8536
Vania,Ault,1998-04-28,812-352-4448
Moss,Gristhwaite,1995-03-28,207-246-6920
Ewart,Kolodziej,1998-07-07,432-203-9985
Rosella,Speak,1997-03-21,294-804-7482
Maurizia,Trench,1995-05-04,715-637-9530
Lorenzo,Ceyssen,1998-02-24,379-319-2746
Goldy,Bowlas,1998-02-15,667-577-9241
Sanford,Garard,1999-06-28,461-310-5224
Sharia,Sagrott,1998-09-24,705-786-2836
Clari,Dacombe,1996-08-18,222-525-0605
Bartel,Paradine,1998-07-25,343-322-1221
Gennifer,Harbron,1996-03-31,256-612-0252
Dugald,Rasper,1996-10-20,912-936-9873
Alfie,Moralis,1995-09-18,907-567-5308
Leupold,Crufts,1995-12-17,799-702-3348
Marybelle,Moniker,1998-09-19,782-334-4195
Nat,Allder,1998-11-25,820-408-2323
Brok,Groom,1998-05-01,360-685-5720
Feliza,Coyte,1996-12-29,180-954-9534
Culley,Stadden,1997-02-05,870-997-4552
Connie,Tupp,1996-12-22,485-476-8928
Mirilla,Marzelle,1996-01-26,163-741-2647
Obie,Latan,1997-01-11,812-296-5557
Wynne,Bolden,1995-07-18,119-282-2483
Colin,Avramchik,1997-03-16,806-838-6445
Lodovico,Colwill,1996-12-11,355-221-9120
Morty,Grzesiewicz,1999-04-19,337-887-3977
Irv,Lawty,1999-09-19,333-207-1544
Gael,Dyment,1998-08-06,440-105-4754
Pierre,Penelli,1997-01-03,158-816-4695
Wash,Mecco,1999-08-02,672-629-8426
Georgianna,Blinman,1998-02-24,168-643-5806
Arri,Bockett,1997-02-25,848-578-8195
Burty,Gavrieli,1996-10-07,577-631-8262
Sandra,Dewfall,1997-09-23,416-951-1482
Pascal,Leathers,1995-12-25,345-266-6804
Philis,Soar,1999-05-09,900-423-6954
Sidoney,Ben-Aharon,1995-08-27,369-519-7225
